Industry  Name,Number of firms,Average Company Age (years),Market Cap ($ millions),Book Equity ($ millions),Enteprise Value ($ millions),Invested Capital ($ millions),Total Debt (including leases) ($ millions),Revenues ($ millions),Gross Profit ($ millions),EBITDA ($ millions),EBIT (Operating Income) ($ millions),Net Income ( $ millions)
Farming/Agriculture,35,56.375,204285.505,72230.91999999998,298187.81100584124,161263.21411281932,105918.96600584136,222503.23000000004,29115.333000000006,18295.088999999996,12475.23139883173,8696.789999999997
Financial Svcs. (Non-bank & Insurance),176,33.55421686746988,3053411.6019999986,450298.5750000002,11056634.462141765,8537875.387443129,8309248.003141768,584824.3900000004,404699.7909999999,129521.10300000006,108406.56277164689,129763.973
Food Processing,78,57.89041095890411,302436.05500000005,176462.13399999996,423585.3294541338,170521.46682068924,132266.95445413358,288483.82,67027.22800000003,42029.47000000001,31056.751509173293,8124.527000000001
Food Wholesalers,13,43.44444444444444,72915.66100000002,14914.61,106025.2366186217,33210.14702065301,34247.429618621696,232077.84,35833.566,9570.980000000001,5907.807876275663,2717.55
Furn/Home Furnishings,27,66.28,52491.781999999985,19055.742000000002,71580.76969152206,28907.868577440604,22221.542691522063,53707.10000000002,16259.939999999999,6116.511,3692.7644616955877,592.141
Green & Renewable Energy,15,22.727272727272727,24208.068,9468.085,50608.45062768065,44822.41038648023,27381.65062768066,6434.074,3554.211,3742.3329999999996,1183.079874463868,-696.58
Healthcare Products,204,26.308108108108108,1246583.2850000006,243709.85900000003,1360211.9886240368,229024.0446230736,159377.64762403563,285602.77399999957,154227.10500000007,64489.31100000002,44182.02107519292,27441.739000000023
Healthcare Support Services,104,29.174418604651162,988249.9570000002,342541.92199999996,1237797.0564879049,251434.43657144884,350090.6984879044,2703892.9110000003,326586.19799999986,106885.565,80856.5461024191,33883.53199999998
Heathcare Information and Technology,115,24.96039603960396,722216.0430000003,178861.50500000006,815320.7679149887,124439.14148217064,113686.50891498846,153567.87199999994,74201.40499999998,35082.55699999997,22655.171417002297,11442.421000000002
Homebuilding,30,35.285714285714285,180618.88400000005,112598.97000000002,201635.58752965677,123068.87352965673,38551.56652965671,169210.33000000002,38403.21,22609.414999999994,21377.788694068655,16024.443999999998
Hospitals/Healthcare Facilities,31,23.666666666666668,181827.98999999996,20826.629999999994,284021.23783237464,101468.03283556069,108952.02983237465,168184.79700000002,65755.433,31946.751999999997,21620.293233525084,10587.484000000002
Hotel/Gaming,63,34.5,767051.379,53856.02099999999,1018783.2585076928,244590.2874121641,304904.47850769263,235443.80200000003,143278.387,66436.55400000002,38709.88549846151,24441.622000000007
Household Products,110,39.1,570380.1149999999,92207.24299999999,652738.4075980582,102489.89759805865,103510.46359805865,213350.287,108903.03600000001,49400.071999999986,40088.532480388254,24915.50099999999
Information Services,15,23.785714285714285,69058.02199999997,17686.899999999998,89632.46365549321,15691.641655493211,22906.441655493207,40511.2,13807.7,7794.05,5044.2356689013595,2643.5
Insurance (General),21,43.05263157894737,201157.06600000002,36949.14000000002,246399.36657881527,37321.59236726787,51551.75557881531,56983.499999999985,25470.76,15559.215999999999,12228.95568423694,7046.812999999998
Insurance (Life),20,89.94736842105263,229732.557,146145.69999999998,309740.99286092725,225712.42523367103,155850.28586092714,241264.2,72359.50000000003,23779.771,25689.01382781458,18814.110000000004
Insurance (Prop/Cas.),57,58.771929824561404,594922.6500000003,260204.93999999986,651206.6078814374,320343.6072755631,88222.78788143743,437408.9999999999,132054.2,76268.47500000002,66925.36562371251,48696.63999999998
Investments & Asset Management,283,10.98091603053435,923408.8190000003,232614.21099999978,1103683.7287630474,453845.8595218321,301845.5827630463,201180.19499999998,140359.61999999997,25694.204000000012,50666.15924739062,36940.71099999999
