Industry name,Number of firms,  Dividends , Net Income ,Payout,Dividends + Buybacks,Cash Return as % of Net Income,Dividends + Buybacks - Stock Issuances,FCFE (before debt cash flows),FCFE (after debt cash flows),Net Cash Returned/FCFE (pre-debt),Net Cash Returned/FCFE (post-debt),Net Cash Returned/ Net Income,Cash/ Firm Value
Retail (Grocery and Food),15,1367.2,3652.0099999999998,0.374369182997856,9034.250000000002,2.473774715841414,8815.218000000003,8999.532,4112.711999999999,0.9795196016859548,2.1434075617256947,2.4137989764540633,0.051404586626224706
Retail (REITs),26,9864.233999999997,6110.404999999999,1.614333910763689,6345.755,1.0385162685615767,239.17399999999907,13166.333999999997,17017.203999999998,0.018165572892196044,0.014054835330175222,0.03914208632651995,0.014779130344806164
Retail (Special Lines),94,4703.787,15714.29700000001,0.29933168502542606,13484.790999999997,0.8581224473484235,12633.559999999998,9333.484000000006,13051.608000000002,1.3535738637361987,0.9679696172303057,0.8039532407972173,0.05299501204866487
Rubber& Tires,3,0.0,-1738.3,,0.0,,-3.63,-1934.3,-2937.4869999999974,,,0.002088247138008399,0.07012413369742923
Semiconductor,66,25363.1,154726.948,0.163921671873215,106612.07400000002,0.689033651720449,97416.73000000003,111403.03299999997,101804.82699999995,0.8744531219360971,0.9568969652097152,0.6296041591927479,0.010228996908406993
Semiconductor Equip,31,3803.6,19650.304,0.1935644354407952,16093.536999999998,0.8189968460538829,15338.077999999998,15000.766000000001,15813.63,1.0224863183653419,0.9699277142566254,0.7805516901926809,0.03134157978115816
Shipbuilding & Marine,8,106.30000000000001,724.8499999999999,0.14665103124784443,674.69,0.9307994757536043,666.25,437.5659999999999,555.704,1.522627443631361,1.1989296459985892,0.9191556873835968,0.02535523030781677
Shoe,11,2475.4700000000003,3812.48,0.6493070127580998,4774.794,1.2524115536343796,4313.538,3314.2909999999997,2426.2909999999997,1.3014964588203026,1.7778320902150648,1.1314257386268254,0.0664997484206909
Software (Entertainment),77,15397.205999999998,184686.67999999996,0.08336933665167408,121449.33600000001,0.6575966171464018,118580.59400000001,70403.63199999998,82767.48299999998,1.6842965431101629,1.4326954221865131,0.6420635965733968,0.007750679559072728
Software (Internet),29,142.758,-339.06100000000004,0.00022003390875462395,6727.737,,4141.223,-10619.365999999998,-415.28799999999865,,,-12.213799286853986,0.027953523483810944
Software (System & Application),309,34027.14220000002,162155.45400000017,0.20984272413063565,97914.657,0.6038320302195935,40988.88500000003,82068.6810000002,130998.26200000016,0.49944612854201875,0.3128964031599135,0.2527752473869919,0.018272345449553515
Steel,19,1355.8449999999998,2083.979,0.6506039648192232,4101.590999999999,1.968153709802258,3907.3839999999996,-1766.9999999999977,3096.0400000000027,,1.2620586297334648,1.874963231395326,0.04384254495118023
Telecom (Wireless),12,6032.2,11725.07,0.5144702760836396,18865.543,1.6089919292592711,18863.727000000003,13186.978000000003,12144.938000000004,1.4304814188663997,1.5532172333856291,1.6088370474547276,0.013153696058015397
Telecom. Equipment,57,7331.743,17688.408000000014,0.4144942269536068,18065.997000000003,1.0213466921387153,16107.105000000003,15844.357000000013,11139.322000000011,1.0165830648728749,1.4459681657465318,0.9106022995399016,0.02677918368244727
Telecom. Services,39,19576.644,41056.926,0.47681709049527965,15665.99,0.3815675338187764,13799.989,35612.62800000002,38971.35400000003,0.38750268584503206,0.3541059671675762,0.3361184176331175,0.042112948613688424
Tobacco,10,15432.85,17616.47,0.8760466767746319,16460.82,0.9343994568718931,16344.832,17144.259000000002,18020.129,0.9533705714548525,0.907031908595105,0.9278153909381391,0.01840866034890952
Transportation,19,7282.200000000001,25005.124,0.2912283098456141,17237.828,0.6893718263504712,16497.693000000003,16886.497,20364.458,0.9769754496743761,0.8101218799930744,0.6597724930298288,0.05089848894324419
Transportation (Railroads),4,5419.8,12694.0,0.42695761777217583,11615.8,0.9150622341263589,11601.109999999999,9491.039999999999,11512.44,1.2223223166270503,1.007702103116281,0.9139049944855836,0.008324868096860625
Trucking,26,906.1200000000001,3193.9639999999995,0.2836976246444857,3576.0330000000004,1.1196221998745135,3538.1200000000003,-784.3369999999978,615.9640000000018,,5.744036989174676,1.1077519972047276,0.021215013874322366
Utility (General),14,11209.699999999999,17139.5,0.6540272470025379,11283.999999999998,0.6583622626097609,5554.309999999999,-23132.380000000005,1550.3199999999997,,3.5826861551163627,0.3240648793722103,0.003337758963226501
Utility (Water),14,1246.75,2209.13,0.3483342398441463,1253.591,0.5674591354967792,621.5069999999998,-2217.8270000000007,656.7479999999996,,0.9463401487328477,0.2813356389166775,0.004586510588919464
