Industry Name,Number of Firms,Beta,ROE,Cost of Equity,(ROE - COE),BV of Equity,Equity EVA (US $ millions),ROC,Cost of Capital,(ROC - WACC),BV of Capital,EVA (US $ millions),E/(D+E),Std Dev in Stock,Cost of Debt,Tax Rate,After-tax Cost of Debt,D/(D+E)
Furn/Home Furnishings,27,0.8231584740017082,0.03107415077303208,0.07621286794047619,-0.04513871716744411,19055.742000000002,-860.1517485537859,0.1058742891265975,0.06534852566141613,0.04052576346518137,30524.306045185098,1237.020806725977,0.7025759088720676,0.5150986273981181,0.052913,0.11382525542555506,0.039684750000000005,0.2974240911279325
Green & Renewable Energy,15,0.8563295187054536,-0.07357137161316149,0.07769229653426324,-0.15126366814742473,9468.085,-1432.1772674316098,0.036367416094179386,0.06041822528094039,-0.024050809186761002,32517.18162768066,-782.064530618598,0.4692421017976064,0.6514340075377375,0.060195,0.0,0.04514625,0.5307578982023936
Healthcare Products,204,0.9085611350704943,0.11260003642281874,0.08002182662414405,0.03257820979867469,243709.85900000003,7939.630916507429,0.16980778635574598,0.07544927539941833,0.09435851095632765,253637.87527105233,23932.892232703256,0.8866414820456079,0.6179058995412937,0.052913,0.048453372827770576,0.039684750000000005,0.11335851795439207
Healthcare Support Services,104,0.8719538873399333,0.09891791288541897,0.07838914337536103,0.020528769510057943,342541.92199999996,7031.964164270245,0.3119296654846798,0.06826462981764432,0.2436650356670355,235104.5636084534,57286.76187713662,0.7384143588163841,0.47240032307194035,0.052913,0.09799646168506736,0.039684750000000005,0.26158564118361594
Heathcare Information and Technology,115,1.1083338991481437,0.06397363703274217,0.08893169190200721,-0.024958054869265042,178861.50500000006,-4464.035255789326,0.13716783348113318,0.08223388617482975,0.054933947306303424,155090.91107652016,8519.755936764148,0.8639954996494013,0.6378002122444473,0.052913,0.06381881317110165,0.039684750000000005,0.13600450035059872
Homebuilding,30,0.9106178132748846,0.14231430358554786,0.08011355447205985,0.06220074911348801,112598.97000000002,7003.740283407164,0.1490812879349228,0.07270658292621202,0.0763747050087108,119034.87652965669,9091.253580700843,0.8241023530476334,0.32794046675316896,0.050671999999999995,0.16989203344780976,0.038003999999999996,0.17589764695236668
Hospitals/Healthcare Facilities,31,0.7996783314027625,0.5083628028154341,0.07516565358056321,0.4331971492348709,20826.629999999994,9022.036744169436,0.22163970318779982,0.06187135479202335,0.15976834839577647,86479.39034011056,13816.66936491313,0.6253111548201213,0.5645694737555678,0.052913,0.11347796258733156,0.039684750000000005,0.3746888451798786
Hotel/Gaming,63,1.0803675683074194,0.4538326736020845,0.0876843935465109,0.3661482800555736,53856.02099999999,19719.28945978685,0.14575119045322596,0.07355342501803572,0.07219776543519024,245999.59616230676,17760.62114087775,0.7155624680137498,0.3965335196981276,0.050671999999999995,0.08308178299623932,0.038003999999999996,0.28443753198625027
Household Products,110,0.8155158251324154,0.2702119723935352,0.07587200580090572,0.1943399665926295,92207.24299999999,17919.552524218467,0.34419837512001855,0.07031359655279625,0.2738847785672223,109028.24519805863,29861.17679364311,0.846398707912791,0.5546378639806525,0.052913,0.06500436608160612,0.039684750000000005,0.15360129208720896
Information Services,15,0.9205673234850804,0.149460900440439,0.08055730262743459,0.06890359781300441,17686.899999999998,1218.6910441588275,0.2217430042193927,0.06995815698857832,0.15178484723081437,18653.93265549321,2831.384318367936,0.7509207280183494,0.32375244548022786,0.050671999999999995,0.18162842926123732,0.038003999999999996,0.24907927198165059
Insurance (General),21,0.6719750422408106,0.190716563362503,0.06947008688394016,0.12124647647856285,36949.14000000002,4479.953033913128,0.4450609958826383,0.06339397763978913,0.3816670182428492,23964.032110541906,9146.280680706423,0.7960033399042334,0.46070163153831,0.052913,0.12768801589234566,0.039684750000000005,0.20399666009576656
Insurance (Life),20,0.6444930925180267,0.12873529635151773,0.068244391926304,0.06049090442521374,146145.69999999998,8840.485570855959,0.1076576568830416,0.056021405832597446,0.05163625105044416,202381.1058609271,10450.201590101347,0.5958059629817617,0.3515193422631459,0.050671999999999995,0.15186017647763664,0.038003999999999996,0.4041940370182383
Insurance (Prop/Cas.),57,0.4841100151289049,0.18714725400678406,0.06109130667474916,0.1260559473320349,260204.93999999986,32800.38021217528,0.18488979223477825,0.057783745996990626,0.12710604623778762,295495.77262940677,37559.29933890416,0.8708579711005129,0.28696879528535113,0.047306,0.1836669176395358,0.0354795,0.12914202889948714
Investments & Asset Management,283,0.6595817512663942,0.15880676782898712,0.06891734610648118,0.08988942172250594,232614.21099999978,20909.55691122696,0.14253207300518655,0.06130173831332419,0.08123033469186236,343934.2316666383,27937.892750269555,0.7536466040613984,0.3004225728309703,0.050671999999999995,0.03534923619833761,0.038003999999999996,0.24635339593860164
